title,description,symbol,sentiment_score
Peter Thiel Dumps Nvidia and Slashes Tesla Stake—Is the AI Bubble About to Pop?,"Market Analysis by  covering: NVIDIA Corporation, Tesla Inc. Read 's Market Analysis on Investing.com",AAPL,0.9163
OpenAI teams up with Foxconn to develop AI infrastructure hardware in US. Details here,"OpenAI is partnering with Foxconn to design and manufacture data center hardware in the US, aiming to meet rising AI infrastructure demands. This collaboration includes developing server racks and other essential equipment.",AAPL,0.6908
"‘High convinction’: Red Mountain boosts Idaho, USA Yellow Pine Antimony Project by 75%",Red Mountain has increased by 75% its overall U.S. prospective antimony acreage footprint with a major claim acquired in Idaho.,AAPL,0.5719
"Nvidia’s Blockbuster Earnings Propel Midday Rally, Major Indexes Soar","The U.S. stock market experienced a significant upswing in midday trading on Thursday, November 20, 2025, largely propelled by a stellar earnings report from",MSFT,0.8271
Bill Gates Just Dumped 65% of His Microsoft Stock. Should You Sell?,"Microsoft co-founder (NASDAQ:MSFT) Bill Gates once held the vast majority of his personal wealth in the company’s shares. Over decades, he gradually reduced his direct ownership through sales and massive donations to philanthropy. The Bill & Melinda Gates Foundation Trust — now called the Gates Foundation Trust after his ex-wife resigned from the organization — ... Bill Gates Just Dumped 65% of His Microsoft Stock. Should You Sell?",MSFT,0.308843
Evaluating Microsoft Against Peers In Software Industry - Microsoft (NASDAQ:MSFT),,MSFT,0.207163
Ross Gerber Praises Tesla FSD V14 Improvements: Piper Sandler Analyst Predicts Over 25% Upside For TSLA Stock - Tesla (NASDAQ:TSLA),Investor Ross Gerber hails Tesla's FSD v14 for its improvements over the previous iteration despite facing mapping issues.,GOOGL,0.34
Nvidia earnings clear lofty hurdle set by analysts amid fears about an AI bubble,Nvidia’s sales of the computing chips powering the artificial intelligence craze surged beyond the lofty bar set by stock market analysts in a performance that mingle ease recent jitters about a Big Tech boom turning into a bust that topples the...,GOOGL,0.5267
"Track the portfolio moves of superinvestors like Buffett, Ackman, Burry and more",See how Buffett and other superinvestors reshape their portfolios each quarter and what these moves reveal about their thinking.,GOOGL,0.5859
Ross Gerber Praises Tesla FSD V14 Improvements: Piper Sandler Analyst Predicts Over 25% Upside For TSLA Stock - Tesla (NASDAQ:TSLA),Investor Ross Gerber hails Tesla's FSD v14 for its improvements over the previous iteration despite facing mapping issues.,GOOG,0.34
Nvidia earnings clear lofty hurdle set by analysts amid fears about an AI bubble,Nvidia’s sales of the computing chips powering the artificial intelligence craze surged beyond the lofty bar set by stock market analysts in a performance that mingle ease recent jitters about a Big Tech boom turning into a bust that topples the...,GOOG,0.5267
AI Is Catalyzing A New Era Of Expansion For Alphabet Stock (NASDAQ:GOOG),"Alphabet’s AI-driven growth in search, YouTube, and cloud signals a strong buy. See more on GOOG stock's key Q3 2025 results and investment insights.",GOOG,0.0
Peter Thiel Dumps Nvidia and Slashes Tesla Stake—Is the AI Bubble About to Pop?,"Market Analysis by  covering: NVIDIA Corporation, Tesla Inc. Read 's Market Analysis on Investing.com",AMZN,0.9163
Paramount Wins Surprise Bid for UEFA Champions League Rights,"Paramount Skydance Corp. has won the bid for the television rights for the Champions League in the UK and Germany, according to a person familiar with the matter, marking the first time the US media group has made a major international sporting push.",AMZN,0.34
Understanding Amazon.com's Position In Broadline Retail Industry Compared To Competitors - Amazon.com (NASDAQ:AMZN),,AMZN,0.211257
CNBC Daily Open: Investors suffer from whiplash as AI stocks gyrate,"Nvidia CEO Jensen Huang's rejection of the AI bubble narrative seemed to reassured investors initially, but their concerns couldn't be repressed for long.",NVDA,0.4196
Nasdaq Dips Over 2% Despite Nvidia's Earnings Beat: Fear & Greed Index Remains In 'Extreme Fear' Zone - NVIDIA (NASDAQ:NVDA),"U.S. stocks closed lower on Thursday due to a risk-off mood in the market, with the Fear and Greed index showing an increase in fear levels.",NVDA,-0.0767
Peter Thiel Dumps Nvidia and Slashes Tesla Stake—Is the AI Bubble About to Pop?,"Market Analysis by  covering: NVIDIA Corporation, Tesla Inc. Read 's Market Analysis on Investing.com",NVDA,0.46956
Meta reaches $190 million settlement over privacy violations,Meta reaches $190 million settlement over privacy violations,META,-0.836
Meta: CapEx Fears Are Way Overblown (NASDAQ:META),"Meta Platforms’ strong user growth, better ad metrics, and attractive valuation offer a compelling investment. Click to read my latest analysis of META stock.",META,0.2281
Comparative Study: Meta Platforms And Industry Competitors In Interactive Media & Services Industry - Meta Platforms (NASDAQ:META),,META,0.196667
"Tesla To Expand Rental Program Across Multiple US Cities With Unlimited Miles, Free Supercharging From $60/Day - Tesla (NASDAQ:TSLA)","Tesla is reportedly expanding its in-house rental program, offering $60/day rentals for Model 3 and Model Y, across multiple cities.",TSLA,0.388733
Peter Thiel Dumps Nvidia and Slashes Tesla Stake—Is the AI Bubble About to Pop?,"Market Analysis by  covering: NVIDIA Corporation, Tesla Inc. Read 's Market Analysis on Investing.com",TSLA,0.285975
"Tesla Rival Lucid Falls 6% To All-Time Low Amid $79,900 Gravity SUV Rollout, Earnings Miss - Lucid Group (NASDAQ:LCID)",Lucid Group stock (LCID) fell to an all-time low on Thursday amid new affordable Gravity Touring SUV reveal and missed earnings estimates.,TSLA,-0.03095
"Top Analyst Reports for Visa, Merck & Southern Company","Visa sees solid volume growth and cross-border gains, while Merck and Southern Company navigate competitive and regulatory pressures.",V,0.2732
Visa's Options Frenzy: What You Need to Know - Visa (NYSE:V),,V,0.0215
OCBC Adds Eight Major Digital Wallets across Southeast Asia to OCBC App,The partnership with Visa makes the OCBC app the most connected banking app in the region with coverage of 10 digital wallets,V,0.0
Why Lithium Americas Could Be a 2030 Power Play—Not a 2025 One,Market Analysis by  covering: Lithium Americas Corp. Read 's Market Analysis on Investing.com,JPM,0.5106
DoorDash Expands Beyond Food With Deliveroo Integration and New AI Partnership,Market Analysis by  covering: DoorDash Inc. Read 's Market Analysis on Investing.com,JPM,0.5994
A Hedge Against AI Crash Emerges as Oracle CDS Market Explodes,"Oracle Corp., the once stodgy database giant that’s borrowed tens of billions and tethered its fortunes to the artificial intelligence boom, is quickly emerging as the credit market’s barometer for AI risk.",JPM,-0.3612
SCCM Value Equity Fund Sold Kenvue (KVUE) Due to Less Compelling Valuation,"Cullen Capital Management, LLC, operating under the name Schafer Cullen Capital Management, Inc. (SCCM), has released its “SCCM Value Equity Strategy” third-quarter investor letter. A copy of the letter can be downloaded here. The US equity market continued the rally in the third quarter, with the S&P 500 returning 8.1% and the Russell 1000 Value surging 5.3%. […]",JNJ,0.6808
"Alvotech and Advanz Pharma Receive Marketing Approval Across the European Economic Area for Gobivaz®, a First-in-Market Biosimilar to Simponi® (golimumab)","REYKJAVIK, Iceland and LONDON, Nov. 20, 2025 (GLOBE NEWSWIRE) -- Alvotech (NASDAQ: ALVO), a global biotech company specializing in the development and manufacture of biosimilar medicines for patients worldwide and Advanz Pharma Holdco Limited ('Advanz Pharma”), a UK headquartered global pharmaceutical company with a strategic focus on specialty, hospital, and rare disease medicines in Europe, today announced that the European Commission (EC) has granted marketing authorizations in the European Economic Area (EEA) for Gobivaz®, Alvotech’s biosimilar to Simponi® (golimumab).",JNJ,0.3818
Nvidia revolutionizes hospitals with AI robots and voice assistants to address worker shortage,Nvidia's Vice President of Healthcare Kimberly Powell says AI technology will help address the projected shortage of 11 million healthcare workers by 2030 through automation.,JNJ,0.2732
Nasdaq Dips Over 2% Despite Nvidia's Earnings Beat: Fear & Greed Index Remains In 'Extreme Fear' Zone - NVIDIA (NASDAQ:NVDA),"U.S. stocks closed lower on Thursday due to a risk-off mood in the market, with the Fear and Greed index showing an increase in fear levels.",WMT,0.1027
Walmart Warns Tariffs May Still Cause Price Hikes For Everyday Items Despite Some 'Relief' On Food Inflation - Walmart (NYSE:WMT),Walmart Q3: Executives see 'relief' in food inflation but warn tariffs may cause price hikes on household items.,WMT,0.03495
